word,translation,type,pinyin
历史,Histoire,Noms et expressions,Lìshǐ
文化,Culture,Noms et expressions,Wénhuà
觉得,Trouver que,Verbes,Juéde
要,Falloir/vouloir,Verbes,Yào
用,Utiliser,Verbes,Yòng
知道,Savoir,Verbes,Zhīdào
聪明,Intelligent,Adjectifs,Cōngmíng
高,Grand (taille),Adjectifs,Gāo
高兴,Content,Adjectifs,Gāoxìng
好看,Beau (a voir),Adjectifs,Hǎokàn
坏,Mauvais,Adjectifs,Huài
老,Vieux,Adjectifs,Lǎo
忙,Occupé,Adjectifs,Máng
美丽,Belle (pour une femme),Adjectifs,Měilì
难,Difficile,Adjectifs,Nán
漂亮,Beau/Joli,Adjectifs,Piàoliang
容易,Facile,Adjectifs,Róngyì
帅,Beau (pour un homme),Adjectifs,Shuài
小,Petit,Adjectifs,Xiǎo
有趣,Intéressant,Adjectifs,Yǒuqù
的,Possessif,Divers,de
和,Et (énumération),Divers,hé
很,Affirmation (adjectifs),Divers,hěn
可是,Mais,Divers,kěshì
Adj. + 点儿,Un peu plus + adj.,Divers,diǎnr
黑,Fatigué,Adjectifs,Lèi
书法,Calligraphie,Noms et expressions,Shūfǎ
