word,translation,type,pinyin
颜色,Couleur,Couleurs,Yánsè
黑色,Noir,Couleurs,Hēisè
白色,Blanc,Couleurs,Báisè
红色,Rouge,Couleurs,Hóngsè
绿色,Vert,Couleurs,Lǜsè
蓝色,Bleu,Couleurs,Lánsè
裤子,Pantalon,Noms et expressions,Kùzi
钱,Argent,Noms et expressions,Qián
裙子,Robe,Noms et expressions,Qúnzi
鞋子,Chaussure,Noms et expressions,Xiézi
毛衣,Pull en laine,Noms et expressions,Máoyī
围巾,Écharpe,Noms et expressions,Wéijīn
衣服,Vêtement,Noms et expressions,Yīfu
种类,Sorte/type,Noms et expressions,Zhǒnglèi
多少,Combien ?,Interrogatifs,Duōshǎo
卖,Vendre,Verbes,Mài
行,Ça marche !,Verbes,Xíng
不行,Ça n'est pas possible,Verbes,Bù xíng
让,Faire faire,Verbes,Ràng
试,Essayer,Verbes,Shì
适合,Convenir,Verbes,Shìhé
穿,Porter (vêtement),Verbes,Chuān
戴,Porter (accessoire),Verbes,Dài
不同,Différent,Adjectifs,Bù tóng
便宜,Bon marché,Adjectifs,Piányi
少,Peu,Adjectifs,Shǎo
双,Classification (paires),Divers,Shuāng
一些,Quelques/certains,Divers,Yīxiē
