word,translation,type,pinyin
兵马俑,Armée en terre cuite,Noms et expressions,Bīngmǎyǒng
春节,Fête du printemps,Noms et expressions,Chūnjié
春卷,Rouleau de printemps,Noms et expressions,Chūnjuǎn
房子,Maison/appartement,Noms et expressions,Fángzi
皇帝,Empereur,Noms et expressions,Huángdì
活动,Évènement,Noms et expressions,Huódòng
鸡,Coq/poulet,Noms et expressions,Jī
家庭,Famille,Noms et expressions,Jiātíng
军队,Armée,Noms et expressions,Jūnduì
龙,Dragon,Noms et expressions,Lóng
农历,Calendrier lunaire,Noms et expressions,Nónglì
秦始皇陵,Mausolée de Qin Shihuang,Noms et expressions,Qínshǐhuáng líng
事情,Chose (Not physical),Noms et expressions,Shìqing
西安,Xi'An (ville chinoise),Noms et expressions,Xī'ān
阳历,Calendrier grégorien,Noms et expressions,Yánglì
鱼,Poisson,Noms et expressions,Yú
舞龙,Danse du dragon,Noms et expressions,Wǔlóng
中部,Centre,Noms et expressions,Zhōng bù
安排,Organiser,Verbes,Ānpái
必须,Devoir (Necessaire),Verbes,Bìxū
打扫,Faire le ménage,Verbes,Dǎsǎo
放鞭炮,Faire exploser des pétards,Verbes,Fàng biānpào
放假,Prendre des vacances,Verbes,Fàngjià
放烟火,Faire des feux d'artifice,Verbes,Fàng yānhuǒ
聚会,Se réunir,Verbes,Jùhuì
热闹,Animé,Adjectifs,Rènào
新,Nouveau,Adjectifs,Xīn
...末,À la fin de...,Divers,...mò
别的,D'autres,Divers,Bié de
除了...以外,Excepté...,Divers,Chúle...yǐwài
当然,Évidemment,Divers,Dāngrán
等等,Etc.,Divers,Děng děng
值得,Valoir le coup de...,Divers,Zhíde
