word,translation,type,pinyin
妈妈,Maman,Famille chinoise,Māma
爸爸,Papa,Famille chinoise,Bàba
姐姐,Grande sœur,Famille chinoise,Jiějie
妹妹,Petite sœur,Famille chinoise,Mèimei
弟弟,Petit frère,Famille chinoise,Dìdi
哥哥,Grand frère,Famille chinoise,Gēge
父亲,Père,Famille chinoise,Fùqīn
母亲,Mère,Famille chinoise,Mǔqīn
父母,Parents,Famille chinoise,Fùmǔ
爷爷,Grand-père (paternel),Famille chinoise,Yéye
奶奶,Grand-mère (paternelle),Famille chinoise,Nǎinai
外公,Grand-père (maternel),Famille chinoise,Wàigōng
外婆,Grand-mère (maternelle),Famille chinoise,Wàipó
菜,Plat (nourriture),Noms,Cài
饭馆,Restaurant,Noms,Fànguǎn
家,Maison,Noms,Jiā
地图,Carte,Noms,Dìtú
首都,Capitale,Noms,Shǒudū
住在,Habiter à,Verbes,Zhù zài
这个,Ceci,Divers,Zhège
这里,Ici,Divers,Zhèlǐ
那里,Là-bas,Divers,Nàlǐ
这是/那是,C'est,Divers,Zhè shì/Nà shì
跟,Avec,Divers,Gēn
口,Bouche/classificateur,Divers,Kǒu
张,Classificateur (objets plats),Divers,Zhāng
中国菜,Plats chinois,Noms,Zhōngguó cài
意大利,Italie,Noms,Yìdàlì
巴黎,Paris,Noms,Bālí
