word,translation,type,pinyin
车,Véhicule/voiture,Moyens de transport,Chē
公交车,Bus,Moyens de transport,Gōngjiāochē
火车,Train,Moyens de transport,Huǒchē
自行车,Vélo,Moyens de transport,Zìxíngchē
开,Conduire,Verbes,Kāi
开始,Commencer,Verbes,Kāishǐ
骑,Chevaucher,Verbes,Qí
上班,Commencer le travail,Verbes,Shàngbān
下班,Finir le travail,Verbes,Xiàbān
走路,Marcher,Verbes,Zǒulù
坐,S'asseoir/prendre (véhicule),Verbes,Zuò
游泳,Nager,Verbes,Yóuyǒng
无聊,Ennuyeux,Adjectifs,Wúliáo
有意思,Intéressant (polite),Adjectifs,Yǒu yìsi
没意思,Inintéressant (polite),Adjectifs,Méi yìsi
啊,Particule modale d'exclamation,Divers,A
每,Chaque,Divers,Měi
然后,Ensuite,Divers,Ránhòu
同意,Être d'accord,Divers,Tóngyì
先,D'abord,Divers,Xiān
有点儿,Un petit peu,Divers,Yǒu diǎnr
公园,Parc public,Noms et expressions,Gōngyuán
看法,Point de vue,Noms et expressions,Kànfǎ
游泳池,Piscine,Noms et expressions,Yóuyǒngchí
