word,translation,type,pinyin
打篮球,Faire du basketball,Activités sportives,Dǎ lánqiú
打乒乓球,Faire du ping-pong,Activités sportives,Dǎ pīngpāngqiú
打手球,Faire du handball,Activités sportives,Dǎ shǒuqiú
打网球,Faire du tennis,Activités sportives,Dǎ wǎngqiú
踢足球,Faire du football,Activités sportives,Tī zúqiú
买东西,Faire du shopping,Autres activités,Mǎi dōngxi
运动,Sport,Noms et expressions,Yùndòng
东西,Chose,Noms et expressions,Dōngxi
怎么样,Comment ?,Interrogatifs,Zěnmeyàng
打,Frapper/jouer (sports),Verbes,Dǎ
买,Acheter,Verbes,Mǎi
想,Souhaiter/penser,Verbes,Xiǎng
棒,Génial,Adjectifs,Bàng
比较,Plutôt/relativement,Divers,Bǐjiào
才,Seulement,Divers,Cái
常常,Souvent,Divers,Chángcháng
从,Depuis,Divers,Cóng
到,Jusqu'à,Divers,Dào
得,Complément d'appréciation,Divers,De
那,Alors (en début de phrase),Divers,Nà
