word,translation,type,pinyin
宾馆,Hôtel,Noms et expressions,Bīnguǎn
出租车,Taxi,Noms et expressions,Chūzūchē
次,Fois,Noms et expressions,Cì
飞机,Avion,Noms et expressions,Fēijī
风景,Paysage,Noms et expressions,Fēngjǐng
柬埔寨,Cambodge,Noms et expressions,Jiǎnpǔzhài
旅途愉快,Bon voyage !,Noms et expressions,Lǚtú yúkuài
明信片,Carte postale,Noms et expressions,Míngxìnpiàn
泰国,Thailande,Noms et expressions,Tàiguó
外国,Étranger (pays),Noms et expressions,Wàiguó
夏天,Été,Noms et expressions,Xiàtiān
雨,Pluie,Noms et expressions,Yǔ
参观,Visiter,Verbes,Cānguān
回来,Revenir,Verbes,Huílái
寄,Envoyer,Verbes,Jì
快要,Être sur le point de,Verbes,Kuàiyào
离开,Quitter,Verbes,Líkāi
冷/热,Froid/Chaud,Adjectifs,Lěng/Rè
有名,Célèbre,Adjectifs,Yǒumíng
非常,Extrêmement,Divers,Fēicháng
...的时候,Pendant...,Divers,...de shíhòu
...以后,Après...,Divers,...yǐhòu
...以前,Avant...,Divers,...yǐqián
这么,Autant,Divers,Zhème
真的,Vraiment/véritable,Divers,Zhēn de
天气,Météo,Noms et expressions,Tiānqì
饿,Avoir faim,Adjectifs,È
旅行,Voyager,Verbes,Lǚxíng
