word,translation,type,pinyin
厨房,Cuisine,Noms et expressions,Chúfáng
窗户,Fenêtre,Noms et expressions,Chuānghu
错,Faux,Noms et expressions,Cuò
地板,Sol,Noms et expressions,Dìbǎn
电梯,Ascenseur,Noms et expressions,Diàntǐ
房地产公司,Agence immobilière,Noms et expressions,Fángdìchǎn gōngsī
房间,Chambre,Noms et expressions,Fángjiān
房租,Loyer,Noms et expressions,Fángzǔ
孩子,Enfant,Noms et expressions,Háizi
经济,Économie,Noms et expressions,Jīngjì
楼,Étage/immeuble,Noms et expressions,Lóu
网站,Site internet,Noms et expressions,Wǎngzhàn
浴室,Salle de bain,Noms et expressions,Yùshì
作业,Devoirs,Noms et expressions,Zuòyè
搬到,Déménager vers...,Verbes,Bān dào
搬家,Déménager,Verbes,Bānjiā
打开,Ouvrir,Verbes,Dǎkāi
放心,Se relaxer,Verbes,Fàngxīn
放在,Déposer/mettre à,Verbes,Fàng zài
进,Entrer,Verbes,Jìn
忘,Oublier,Verbes,Wàng
整理,Ranger,Verbes,Zhěnglǐ
出租,Louer,Verbes,Chūzū
床,Lit,Noms et expressions,Chuáng
考试,Examen,Noms et expressions,Kǎoshì
脏,Sale,Adjectifs,Zāng
把,Antéposition du COD,Divers,Bǎ
吧,Particule finale (injonctive),Divers,Ba
此外,En outre,Divers,Cǐwài
完,Compléter/finir,Divers,Wán
一共,En tout,Divers,Yīgòng
自己,Soi-même,Divers,Zìjǐ
最近,Récemment,Divers,Zuìjìn
